Date,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Month,Year,Year_Month
2020-01-03,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-04,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-05,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-06,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-07,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-08,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-09,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-10,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-11,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-12,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-13,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-14,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-15,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-16,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-17,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-18,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-19,US,United States of America,AMRO,0,0,0,0,01,2020,2020-01
2020-01-20,US,United States of America,AMRO,1,1,0,0,01,2020,2020-01
2020-01-21,US,United States of America,AMRO,0,1,0,0,01,2020,2020-01
2020-01-22,US,United States of America,AMRO,0,1,0,0,01,2020,2020-01
2020-01-23,US,United States of America,AMRO,0,1,0,0,01,2020,2020-01
2020-01-24,US,United States of America,AMRO,0,1,0,0,01,2020,2020-01
2020-01-25,US,United States of America,AMRO,0,1,0,0,01,2020,2020-01
2020-01-26,US,United States of America,AMRO,1,2,0,0,01,2020,2020-01
2020-01-27,US,United States of America,AMRO,0,2,0,0,01,2020,2020-01
2020-01-28,US,United States of America,AMRO,1,3,0,0,01,2020,2020-01
2020-01-29,US,United States of America,AMRO,0,3,0,0,01,2020,2020-01
2020-01-30,US,United States of America,AMRO,0,3,0,0,01,2020,2020-01
2020-01-31,US,United States of America,AMRO,0,3,0,0,01,2020,2020-01
2020-02-01,US,United States of America,AMRO,0,3,0,0,02,2020,2020-02
2020-02-02,US,United States of America,AMRO,1,4,0,0,02,2020,2020-02
2020-02-03,US,United States of America,AMRO,1,5,0,0,02,2020,2020-02
2020-02-04,US,United States of America,AMRO,3,8,0,0,02,2020,2020-02
2020-02-05,US,United States of America,AMRO,3,11,0,0,02,2020,2020-02
2020-02-06,US,United States of America,AMRO,0,11,0,0,02,2020,2020-02
2020-02-07,US,United States of America,AMRO,0,11,0,0,02,2020,2020-02
2020-02-08,US,United States of America,AMRO,0,11,0,0,02,2020,2020-02
2020-02-09,US,United States of America,AMRO,1,12,0,0,02,2020,2020-02
2020-02-10,US,United States of America,AMRO,0,12,0,0,02,2020,2020-02
2020-02-11,US,United States of America,AMRO,0,12,0,0,02,2020,2020-02
2020-02-12,US,United States of America,AMRO,0,12,0,0,02,2020,2020-02
2020-02-13,US,United States of America,AMRO,0,12,0,0,02,2020,2020-02
2020-02-14,US,United States of America,AMRO,1,13,0,0,02,2020,2020-02
2020-02-15,US,United States of America,AMRO,1,14,0,0,02,2020,2020-02
2020-02-16,US,United States of America,AMRO,0,14,0,0,02,2020,2020-02
2020-02-17,US,United States of America,AMRO,0,14,0,0,02,2020,2020-02
2020-02-18,US,United States of America,AMRO,0,14,0,0,02,2020,2020-02
2020-02-19,US,United States of America,AMRO,2,16,0,0,02,2020,2020-02
2020-02-20,US,United States of America,AMRO,5,21,0,0,02,2020,2020-02
2020-02-21,US,United States of America,AMRO,3,24,0,0,02,2020,2020-02
2020-02-22,US,United States of America,AMRO,1,25,0,0,02,2020,2020-02
2020-02-23,US,United States of America,AMRO,5,30,0,0,02,2020,2020-02
2020-02-24,US,United States of America,AMRO,6,36,0,0,02,2020,2020-02
2020-02-25,US,United States of America,AMRO,0,36,0,0,02,2020,2020-02
2020-02-26,US,United States of America,AMRO,4,40,0,0,02,2020,2020-02
2020-02-27,US,United States of America,AMRO,4,44,0,0,02,2020,2020-02
2020-02-28,US,United States of America,AMRO,8,52,0,0,02,2020,2020-02
2020-02-29,US,United States of America,AMRO,5,57,1,1,02,2020,2020-02
2020-03-01,US,United States of America,AMRO,4,61,0,1,03,2020,2020-03
2020-03-02,US,United States of America,AMRO,9,70,1,2,03,2020,2020-03
2020-03-03,US,United States of America,AMRO,18,88,0,2,03,2020,2020-03
2020-03-04,US,United States of America,AMRO,36,124,6,8,03,2020,2020-03
2020-03-05,US,United States of America,AMRO,51,175,3,11,03,2020,2020-03
2020-03-06,US,United States of America,AMRO,70,245,4,15,03,2020,2020-03
2020-03-07,US,United States of America,AMRO,78,323,3,18,03,2020,2020-03
2020-03-08,US,United States of America,AMRO,130,453,3,21,03,2020,2020-03
2020-03-09,US,United States of America,AMRO,146,599,5,26,03,2020,2020-03
2020-03-10,US,United States of America,AMRO,214,813,4,30,03,2020,2020-03
2020-03-11,US,United States of America,AMRO,390,1203,4,34,03,2020,2020-03
2020-03-12,US,United States of America,AMRO,498,1701,7,41,03,2020,2020-03
2020-03-13,US,United States of America,AMRO,534,2235,12,53,03,2020,2020-03
2020-03-14,US,United States of America,AMRO,724,2959,7,60,03,2020,2020-03
2020-03-15,US,United States of America,AMRO,951,3910,11,71,03,2020,2020-03
2020-03-16,US,United States of America,AMRO,1217,5127,13,84,03,2020,2020-03
2020-03-17,US,United States of America,AMRO,2175,7302,20,104,03,2020,2020-03
2020-03-18,US,United States of America,AMRO,2341,9643,21,125,03,2020,2020-03
2020-03-19,US,United States of America,AMRO,3202,12845,27,152,03,2020,2020-03
2020-03-20,US,United States of America,AMRO,4896,17741,64,216,03,2020,2020-03
2020-03-21,US,United States of America,AMRO,6117,23858,69,285,03,2020,2020-03
2020-03-22,US,United States of America,AMRO,7537,31395,92,377,03,2020,2020-03
2020-03-23,US,United States of America,AMRO,9120,40515,112,489,03,2020,2020-03
2020-03-24,US,United States of America,AMRO,10839,51354,122,611,03,2020,2020-03
2020-03-25,US,United States of America,AMRO,10714,62068,160,771,03,2020,2020-03
2020-03-26,US,United States of America,AMRO,11393,73461,212,983,03,2020,2020-03
2020-03-27,US,United States of America,AMRO,14060,87521,301,1284,03,2020,2020-03
2020-03-28,US,United States of America,AMRO,18532,106053,339,1623,03,2020,2020-03
2020-03-29,US,United States of America,AMRO,20221,126274,485,2108,03,2020,2020-03
2020-03-30,US,United States of America,AMRO,20802,147076,560,2668,03,2020,2020-03
2020-03-31,US,United States of America,AMRO,26248,173324,667,3335,03,2020,2020-03
2020-04-01,US,United States of America,AMRO,15259,188583,625,3960,04,2020,2020-04
2020-04-02,US,United States of America,AMRO,23732,212315,989,4949,04,2020,2020-04
2020-04-03,US,United States of America,AMRO,28368,240683,1121,6070,04,2020,2020-04
2020-04-04,US,United States of America,AMRO,29906,270589,1309,7379,04,2020,2020-04
2020-04-05,US,United States of America,AMRO,31848,302437,1370,8749,04,2020,2020-04
2020-04-06,US,United States of America,AMRO,32380,334817,1546,10295,04,2020,2020-04
2020-04-07,US,United States of America,AMRO,27030,361847,1869,12164,04,2020,2020-04
2020-04-08,US,United States of America,AMRO,28641,390488,1697,13861,04,2020,2020-04
2020-04-09,US,United States of America,AMRO,29261,419749,2092,15953,04,2020,2020-04
2020-04-10,US,United States of America,AMRO,34056,453805,2242,18195,04,2020,2020-04
2020-04-11,US,United States of America,AMRO,34759,488564,2208,20403,04,2020,2020-04
2020-04-12,US,United States of America,AMRO,32696,521260,2235,22638,04,2020,2020-04
2020-04-13,US,United States of America,AMRO,32106,553366,2200,24838,04,2020,2020-04
2020-04-14,US,United States of America,AMRO,27108,580474,1862,26700,04,2020,2020-04
2020-04-15,US,United States of America,AMRO,25004,605478,1892,28592,04,2020,2020-04
2020-04-16,US,United States of America,AMRO,25109,630587,2466,31058,04,2020,2020-04
2020-04-17,US,United States of America,AMRO,25087,655674,2699,33757,04,2020,2020-04
2020-04-18,US,United States of America,AMRO,31678,687352,2454,36211,04,2020,2020-04
2020-04-19,US,United States of America,AMRO,30462,717814,2318,38529,04,2020,2020-04
2020-04-20,US,United States of America,AMRO,27490,745304,1875,40404,04,2020,2020-04
2020-04-21,US,United States of America,AMRO,26977,772281,2004,42408,04,2020,2020-04
2020-04-22,US,United States of America,AMRO,26055,798336,2054,44462,04,2020,2020-04
2020-04-23,US,United States of America,AMRO,25307,823643,2656,47118,04,2020,2020-04
2020-04-24,US,United States of America,AMRO,30977,854620,2243,49361,04,2020,2020-04
2020-04-25,US,United States of America,AMRO,32962,887582,1994,51355,04,2020,2020-04
2020-04-26,US,United States of America,AMRO,34869,922451,2078,53433,04,2020,2020-04
2020-04-27,US,United States of America,AMRO,33191,955642,1862,55295,04,2020,2020-04
2020-04-28,US,United States of America,AMRO,26248,981890,1550,56845,04,2020,2020-04
2020-04-29,US,United States of America,AMRO,24415,1006305,1512,58357,04,2020,2020-04
2020-04-30,US,United States of America,AMRO,23287,1029592,2100,60457,04,2020,2020-04
2020-05-01,US,United States of America,AMRO,26942,1056534,2414,62871,05,2020,2020-05
